builder,chipset,frequency (MHz),boostFreq (MHz),overclok,bus,memory (Go),interfaceMem (bits),video memory freq (MHz),memory type,stream procs,direct X (max),multi GPU,consumption (W),price (euros)
msi,nvidia,1341,1455,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,187.96
asus,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,189.95
msi,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,189.95
gigabyte,nvidia,1303,1442,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,194.95
asus,nvidia,1303,1442,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,199.96
asus,amd,1326,1336,yes,PCI Express 3.0 16x,4,128,1750,GDDR5,1024,12,CrossFireX,90,199.96
msi,nvidia,1341,1455,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,199.96
evga,nvidia,1366,1480,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,207.95
gigabyte,nvidia,1316,1455,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,212.95
asus,nvidia,1341,1480,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,214.96
gigabyte,nvidia,1290,1430,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,214.96
asus,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,216.95
gigabyte,nvidia,1328,1468,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,219.95
msi,nvidia,1290,1430,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,219.95
msi,nvidia,1354,1493,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,219.95
asus,nvidia,1392,1506,yes,PCI Express 3.0 16x,4,128,7008,GDDR5,768,12,,75,224.95
evga,nvidia,1290,1392,no,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,229.96
evga,nvidia,1354,1468,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,229.96
gigabyte,nvidia,1366,1506,yes,PCI Express 3.0 16x,4,128,1752,GDDR5,768,12,,75,234.95
inno3D,nvidia,1506,1708,no,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,249.95
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,259.96
asus,nvidia,1506,1708,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,264.95
gigabyte,nvidia,1556,1797,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,269.95
evga,nvidia,1607,1835,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1280,12,,120,274.96
gigabyte,nvidia,1594,1847,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,274.96
gigabyte,nvidia,1531,1771,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,274.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,274.96
asus,nvidia,1594,1708,no,PCI Express 3.0 16x,3,192,1752,GDDR5,1152,12,,120,279.95
asus,nvidia,1594,1809,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,279.95
evga,nvidia,1506,1708,no,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,289.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,3,192,2002,GDDR5,1152,12,,120,299.95
inno3D,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,312.95
msi,nvidia,1594,1809,yes,PCI Express 3.0 16x,3,192,2027,GDDR5,1152,12,,120,314.95
gigabyte,nvidia,1556,1797,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,334.96
inno3D,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,334.96
asus,amd,1256,1266,yes,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,339.95
asus,amd,1244,1254,yes,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,339.95
evga,nvidia,1607,1835,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,339.95
gigabyte,nvidia,1531,1771,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,339.95
msi,amd,1268,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,339.95
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,6,192,8008,GDDR5,,12,,120,344.95
asus,nvidia,1569,1809,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,349.95
asus,amd,1244,1254,no,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,349.96
amd,amd,1300,1310,yes,PCI Express 3.0 16x,4,256,7000,GDDR5,2048,12,CrossFireX,150,349.96
evga,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,349.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,349.96
sapphire,amd,1340,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,195,349.96
sapphire,amd,1284,,no,PCI Express 3.0 16x,8,256,1750,GDDR5,2048,12,CrossFireX,180,349.96
sapphire,amd,1340,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,195,354.95
gigabyte,nvidia,1594,1847,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,359.95
asus,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,362.95
gigabyte,nvidia,1607,1860,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,364.96
msi,nvidia,1544,1759,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,364.96
gigabyte,nvidia,1620,1873,yes,PCI Express 3.0 16x,6,192,2078,GDDR5,1280,12,,120,367.96
sapphire,amd,1366,,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,225,369.95
asus,nvidia,1569,1809,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,377.95
asus,nvidia,1506,1708,no,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,379.96
msi,nvidia,1594,1809,yes,PCI Express 3.0 16x,6,192,2025,GDDR5,1280,12,,120,379.96
msi,amd,1244,1293,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,379.96
sapphire,amd,1411,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2304,12,CrossFireX,225,379.96
gigabyte,amd,1244,1255,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,389.95
msi,amd,1366,,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,230,389.95
evga,nvidia,1607,1835,yes,PCI Express 3.0 16x,6,192,2002,GDDR5,1280,12,,120,389.95
asus,nvidia,1506,1708,yes,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,399.95
asus,nvidia,1506,1746,no,PCI Express 3.0 16x,6,192,2000,GDDR5,1280,12,,120,399.95
msi,amd,1268,,yes,PCI Express 3.0 16x,8,256,1750,GDDR5,2048,12,CrossFireX,150,399.95
msi,amd,1366,,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2304,12,CrossFireX,250,399.95
sapphire,amd,1340,,yes,PCI Express 3.0 16x,8,256,1750,GDDR5,2048,12,CrossFireX,195,399.95
gigabyte,amd,1280,1295,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,419.95
asus,nvidia,1620,1873,yes,PCI Express 3.0 16x,6,192,2050,GDDR5,1280,12,,120,429.95
asus,amd,1340,1360,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,225,429.95
gigabyte,amd,1365,1380,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2304,12,CrossFireX,245,429.95
asus,amd,1360,1380,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,225,439.96
sapphire,amd,932,1206,no,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,439.96
gigabyte,amd,1439,,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,300,449.95
sapphire,amd,932,1206,no,PCI Express 3.0 16x,4,256,1750,GDDR5,2048,12,CrossFireX,150,449.95
gigabyte,amd,1355,1340,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,250,459.95
sapphire,amd,1411,,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,235,459.95
asus,amd,1360,1380,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,225,469.96
sapphire,amd,932,1206,no,PCI Express 3.0 16x,8,256,1750,GDDR5,2048,12,CrossFireX,150,469.96
gigabyte,amd,1365,,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,250,479.95
gigabyte,amd,1355,1340,yes,PCI Express 3.0 16x,4,256,1750,GDDR5,2304,12,CrossFireX,250,489.95
amd,amd,1340,1360,yes,PCI Express 3.0 16x,8,256,2000,GDDR5,2304,12,CrossFireX,225,499.96
gigabyte,nvidia,1556,1746,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,519.95
gigabyte,nvidia,1556,1771,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,529.96
msi,amd,1340,1393,yes,PCI Express 3.0 16x,8,256,2025,GDDR5,2304,12,CrossFireX,250,529.96
gigabyte,nvidia,1594,1822,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,534.95
inno3D,nvidia,1506,1683,no,PCI Express 3.0 16x,8,256,2000,GDDR5,1920,12,SLI,150,539.95
msi,nvidia,1531,1721,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,539.95
msi,nvidia,1531,1721,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,544.96
amd,nvidia,1506,1683,yes,PCI Express 3.0 16x,8,256,2002,GDDR5,1920,12,SLI,150,549.95
